,A_1,B_1,A_2,B_2,A_3,B_3,A_0
ANLN,-0.6386637,0.6108634,0.12845255,0.1537073,0.05823362,-0.04243079,-8.773448
ANP32E,-0.2980546,0.11602977,0.09622942,0.023839273,0.062985964,-0.059881724,-8.806296
ATAD2,0.26506722,0.6071284,0.28335047,0.21954569,0.03477312,-0.13801171,-9.213545
AURKA,-1.2281389,0.8218171,0.23147559,0.033463843,0.009241918,-0.031599212,-9.249946
AURKB,-0.5803617,1.2638223,0.17540647,0.19641921,0.01803981,0.057941996,-10.505713
BIRC5,-0.42616206,0.19218312,0.13625322,0.058781903,0.06646004,-0.020318346,-8.22084
BLM,0.24309447,0.9702632,0.3584633,0.17323646,0.04508831,-0.05715452,-11.075516
BRIP1,0.20518073,0.810773,0.25769764,0.13238382,0.003593972,-0.061558124,-10.76913
BUB1,-0.99326086,0.41953447,0.15569043,0.16532467,0.11228284,-0.053966213,-9.796978
CASP8AP2,0.36535227,0.10442604,0.2877425,0.11290177,0.0025655255,-0.11305767,-11.420761
CBX5,-0.095352225,0.25257745,0.07771889,0.006612122,0.003936711,-0.034137584,-7.552146
CCNB2,-0.82083714,0.1392093,0.16356876,0.033227533,0.1119962,-0.07275072,-10.770718
CCNE2,1.0616335,-0.098584145,0.48056072,0.40440428,-0.07319126,-0.23671055,-10.319117
CDC20,-0.9414503,0.39243054,0.22659217,0.14150527,0.112848476,-0.039946582,-9.123548
CDC25C,-0.85980743,0.67019314,0.16009344,0.07890952,0.06797874,-0.011082774,-11.469464
CDC45,0.0048648417,0.86274254,0.15400924,0.18082872,0.027714444,-0.055611584,-10.69406
CDC6,0.6706975,0.33086666,0.3433746,0.255142,-0.009021543,-0.183663,-9.996103
CDCA2,-0.57503074,0.9991884,0.22154441,-0.07562447,0.025226,0.05553735,-9.750572
CDCA3,-0.71654975,0.4198453,0.07318634,-0.03663579,0.076747164,-0.065885864,-11.877614
CDCA7,0.34921077,-0.15471338,0.46636432,0.14847323,0.0750678,-0.104540884,-10.513548
CDCA8,-0.92807627,1.2461216,0.4352907,0.009741217,-0.0014547564,0.010404894,-10.065391
CDK1,-0.024572015,1.5924196,0.031013519,-0.23579809,0.0056310743,0.2612939,-9.91741
CENPA,-0.5356341,-0.037480548,0.17481913,-0.019256935,0.21713634,0.07405448,-11.736323
CENPE,-1.0250385,0.8551221,0.24134706,0.12861982,0.050729174,-0.03471957,-9.096284
CENPF,-0.9303709,0.64067686,0.13130783,0.16729368,0.098731354,-0.044434723,-7.5122223
CENPU,0.001668185,0.54569244,0.17958216,0.19729324,0.061747808,-0.09000026,-8.744433
CHAF1B,0.4482126,0.33216634,0.26136017,0.2049114,0.015264198,-0.15993005,-10.908072
